size,structure,representation,duration_s,mem_bytes
100,lista,linear,0.000037,5601
100,lista,dinamica,0.000043,1584
100,pilha,linear,0.000046,2048
100,pilha,dinamica,0.000047,1600
100,fila,linear,0.000047,5600
100,fila,dinamica,0.000057,5600
1000,lista,linear,0.000221,81344
1000,lista,dinamica,0.000299,15984
1000,pilha,linear,0.000320,25216
1000,pilha,dinamica,0.000352,16000
1000,fila,linear,0.000282,81344
1000,fila,dinamica,0.000264,81344
10000,lista,linear,0.002411,1112704
10000,lista,dinamica,0.003704,159984
10000,pilha,linear,0.002764,357632
10000,pilha,dinamica,0.003328,160000
10000,fila,linear,0.001820,1112704
10000,fila,dinamica,0.002034,1112704
100000,lista,linear,0.016559,2267138
100000,lista,dinamica,0.020277,1599984
100000,pilha,linear,0.019192,2940944
100000,pilha,dinamica,0.019596,1600000
100000,fila,linear,0.017436,1889821
100000,fila,dinamica,0.020681,1503516
1000000,lista,linear,0.128732,16817980
1000000,lista,dinamica,0.154268,11988672
1000000,pilha,linear,0.147741,19152940
1000000,pilha,dinamica,0.152592,16000000
1000000,fila,linear,0.131966,14197277
1000000,fila,dinamica,0.128672,17140123
